number,value,max_depth,min_node_size,max_features_mode,std_err
58,0.8671585060112819,10,150,sqrt,0.002435596302623961
43,0.8669840375776339,6,191,all,0.002358754107824394
15,0.8669489895728476,11,198,sqrt,0.002383741146817538
74,0.8651879831342235,9,168,sqrt,0.0023210736895678636
70,0.8648030189360126,9,184,sqrt,0.002321027265558804
76,0.8644110510721543,8,80,sqrt,0.0023407974100229222
21,0.8642737673548461,9,58,log2,0.002327521211527909
26,0.8612150054130027,7,17,sqrt,0.002166455106523998
98,0.860593934588137,8,109,log2,0.0023732785031379093
55,0.8597145590777003,8,153,log2,0.002356975326826109
42,0.8595323450646711,7,144,sqrt,0.0023556630913995676
31,0.8580958220166759,7,35,log2,0.0021866056697968806
97,0.8571736529220717,5,39,all,0.002614990711543215
1,0.8571615448899356,7,132,log2,0.002389114926209233
93,0.8562115391920382,7,196,log2,0.002303505447491033
100,0.8560931297601185,6,32,sqrt,0.0022176809032475537
87,0.8552369019581775,6,176,sqrt,0.0023648099144948573
78,0.8543258912461302,6,27,log2,0.0022916157226802276
40,0.8541907442403753,6,16,log2,0.002225357599831172
45,0.8541907442403753,6,16,log2,0.002225357599831172
73,0.8540022981519819,6,75,log2,0.0024692618024224357
20,0.8507042838692522,5,20,sqrt,0.0021225780515681616
71,0.84971457094832,5,32,log2,0.0023142864749291594
41,0.84964809547776865,5,64,log2,0.0023132034705287802
65,0.8495918287401949,5,74,log2,0.0023473419531003887
50,0.8494820255075877,5,105,log2,0.0023509839342301204
84,0.849300523731743,5,144,log2,0.0022863599928951315
60,0.8446433234886327,4,140,sqrt,0.0020544739906283803
5,0.8444416416592277,4,66,log2,0.002136351591087319
12,0.8443134983191203,4,124,log2,0.0020941726216303917
53,0.8442942085620406,4,185,log2,0.0021144604128483565
25,0.8414590890961235,4,73,all,0.0030466347890109064
49,0.8413851351351351,4,117,all,0.0030535390408384937
63,0.8391863699170006,3,156,log2,0.0020660625561073165
27,0.8381822341930828,3,21,sqrt,0.002296259372400509
79,0.838104719046172,3,147,sqrt,0.0022652628529720173
39,0.8381040661620862,3,125,sqrt,0.0022643393239038566
94,0.8380918987768514,3,184,sqrt,0.0022626812397449065
62,0.8323718922717517,2,123,log2,0.001904004653132465
19,0.8323710613283698,2,136,log2,0.0019034710517748582
81,0.8323605558298988,2,50,log2,0.0018988517083896681
11,0.8314734347400808,2,11,sqrt,0.002035988610652634
37,0.8314734347400808,2,89,sqrt,0.002035988610652634
75,0.8314731973276861,2,134,sqrt,0.0020339208886428948
22,0.8314710012630339,2,103,sqrt,0.00203447649046113
44,0.8154971831019354,3,85,all,0.003075769604832575
54,0.8154971831019354,3,88,all,0.003075769604832575
82,0.8154971831019354,3,152,all,0.003075769604832575
23,0.7838973262616095,2,198,all,0.0031220986667314676
33,0.7838973262616095,2,171,all,0.0031220986667314676
34,0.7838973262616095,2,181,all,0.0031220986667314676
35,0.7838973262616095,2,9,all,0.0031220986667314676
