tree_depth,min_n,cost_complexity,mean,std_err
20,4,0.0020589470663920583,0.16758147965361422,0.005564236432965983
13,12,1.0335961658936626e-4,0.16500916650734582,0.004575305020640497
18,14,0.001723600108072116,0.1638595071575824,0.007407255496181622
10,15,0.0017653011239967627,0.1638595071575824,0.007407255496181622
10,8,1.6576232441952555e-4,0.1612871347291323,0.0063979656328128545
12,5,0.0015883489330541806,0.1596900727540575,0.005672465484729008
18,16,1.3375694641755922e-4,0.15920389958191242,0.0039531795257164125
6,6,1.6273576053788883e-4,0.15912914475078513,0.006299173395032385
6,2,2.1868375611959966e-4,0.15886711750765853,0.006059291281560658
18,3,4.344942292432999e-4,0.15886190067566866,0.005992965304552637
20,7,4.403749031658716e-4,0.15886190067566866,0.005992965304552637
6,11,3.375500806079333e-4,0.1588178243735726,0.00605314461891913
6,19,7.62459659083838e-4,0.15858967689728917,0.006071857688709022
10,10,1.547176209679297e-4,0.15812822439491417,0.006281501751643093
10,7,4.0723326190573544e-4,0.15671247697257754,0.005583751888843874
18,15,2.7313407237667834e-4,0.15652170691185777,0.006008733353919008
15,18,0.0013776767089410586,0.15616447248491638,0.006568048969629376
13,12,2.514218432857381e-4,0.1560523698793163,0.00488735733126887
9,9,1.7530005079843415e-4,0.15540491953184862,0.006636686295144372
11,16,1.0906724524733475e-4,0.1546453962198717,0.005433895140976688
10,11,2.073094611171689e-4,0.15418234309859072,0.006803864283733104
13,14,2.524095328239466e-4,0.1541665443971669,0.0067465376097028285
16,16,0.001229669631619039,0.15403111425306676,0.007345433643636447
7,8,1.236374737258647e-4,0.1539811690149821,0.005982970865990824
12,10,4.8124758437687493e-4,0.15397713782662628,0.006742819482083648
18,9,5.296344555524256e-4,0.15381672024293838,0.005986366789839949
19,18,2.743262518576429e-4,0.15355024683618407,0.0060748877706391915
19,4,6.083122130080987e-4,0.15331685288681993,0.006005833188882168
10,11,1.3362270153486608e-4,0.15314597199806146,0.005885171496294203
7,19,1.0076435299388258e-4,0.15250483520294514,0.005899068807166908
7,20,1.9760371720955558e-4,0.15243817238962026,0.005846596886178177
7,11,7.886998100035289e-4,0.1521691794901436,0.0050731903182180205
7,4,4.7081012459169026e-4,0.15188338009215416,0.0056598457898514665
11,18,1.4599271217569343e-4,0.15136522418298037,0.00678780505486053
15,9,0.0011688576681741173,0.15125632281519225,0.007792754981677452
10,7,0.0011775648272904754,0.1510726073340951,0.007876635062611027
14,17,4.988741676921019e-4,0.1505273298267923,0.006808686144980799
10,17,1.8190662569604848e-4,0.1502746988094656,0.006979374484768183
13,16,5.86636976810182e-4,0.15013016885047403,0.0060289357729054124
10,14,2.2003713335362992e-4,0.14940428817661347,0.006310023420032383
12,18,5.044173583700123e-4,0.14930999986661508,0.00610279127561958
10,15,2.551191139441933e-4,0.1492937565488285,0.006366596157646492
14,10,6.336316641047575e-4,0.14918737467376275,0.005776586114906881
12,7,6.414505320224914e-4,0.1489877419268784,0.005723613273854579
13,20,2.815530054326169e-4,0.14868768516418943,0.006484992314575034
9,4,5.062193656513302e-4,0.14849454381620153,0.006121626930463753
20,13,9.080011613559363e-4,0.14778846339102972,0.005395162597979453
19,10,9.179748711786594e-4,0.14778846339102972,0.005395162597979453
16,14,9.189689409121072e-4,0.14778846339102972,0.005395162597979453
13,20,6.256475350771036e-4,0.1475786044678016,0.006154945595340815
17,13,0.0010235317988206182,0.14743315563499368,0.005423980063933977
9,18,3.4981413219779616e-4,0.14730679566469404,0.006266754161148553
10,16,9.004797584648696e-4,0.1472301141626614,0.0053864923275742296
9,4,7.916731704507239e-4,0.1471854450387483,0.005769617056372125
13,17,0.0010126803361260508,0.14718147313257424,0.005395854705981957
8,4,5.609311700988408e-4,0.1458687285009463,0.006192767538327642
8,16,4.374396630099018e-4,0.14573107527503226,0.00623021697329801
8,12,5.532441415761456e-4,0.1457043390110843,0.00626366618406625
