number,value,tree_depth,min_n,cost_complexity,std_err,.config
35,0.18115348305048323,12,8,8.265443101294158e-5,0.0038829063762539674,iter15
36,0.18115348305048323,12,8,8.180142188626584e-5,0.0038829063762539674,iter16
37,0.17792376015022104,12,8,1.0843412925450399e-4,0.0041869776293278205,iter17
38,0.1746593571736627,12,9,8.483165468535872e-5,0.005123899964745783,iter18
39,0.18115348305048323,12,8,8.369155111441122e-5,0.0038829063762539674,iter19
40,0.18114376077268396,12,8,9.056920164094775e-5,0.003875867570995213,iter20
41,0.18114376077268396,12,8,9.72813493471347e-5,0.003875867570995213,iter21
42,0.18114376077268396,12,8,8.775521921714394e-5,0.003875867570995213,iter22
43,0.18115348305048323,12,8,7.998231744977142e-5,0.0038829063762539674,iter23
44,0.18114376077268396,12,8,9.798565079202866e-5,0.003875867570995213,iter24
45,0.18115348305048323,12,8,8.014522135976687e-5,0.0038829063762539674,iter25
46,0.18115348305048323,12,8,8.050940783490738e-5,0.0038829063762539674,iter26
47,0.18115348305048323,12,8,8.11983327879519e-5,0.0038829063762539674,iter27
48,0.18115348305048323,12,8,8.032045609244494e-5,0.0038829063762539674,iter28
49,0.18115348305048323,12,8,8.4288797531511e-5,0.0038829063762539674,iter29
50,0.18114376077268396,12,8,8.622174205283991e-5,0.003875867570995213,iter30
51,0.18115348305048323,12,8,8.243025026988418e-5,0.0038829063762539674,iter31
52,0.1769870423971343,12,8,1.7880216170876336e-4,0.004941288117737468,iter32
53,0.18114376077268396,12,8,8.868472241796725e-5,0.003875867570995213,iter33
54,0.18115348305048323,12,8,8.008477109949792e-5,0.0038829063762539674,iter34
55,0.18115348305048323,12,8,7.943485783760259e-5,0.0038829063762539674,iter35
56,0.18114376077268396,12,8,8.990133641865092e-5,0.003875867570995213,iter36
57,0.18115348305048323,12,8,8.154475766177272e-5,0.0038829063762539674,iter37
58,0.18114376077268396,12,8,9.431255519208252e-5,0.003875867570995213,iter38
59,0.18115348305048323,12,8,8.364278065946483e-5,0.0038829063762539674,iter39
60,0.18114376077268396,12,8,9.70478435624093e-5,0.003875867570995213,iter40
61,0.18115348305048323,12,8,7.950715061051149e-5,0.0038829063762539674,iter41
62,0.18114376077268396,12,8,9.490122724659068e-5,0.003875867570995213,iter42
63,0.18115348305048323,12,8,8.098528089407289e-5,0.0038829063762539674,iter43
64,0.18114376077268396,12,8,9.26251136269161e-5,0.003875867570995213,iter44
65,0.18115348305048323,12,8,8.211609543863503e-5,0.0038829063762539674,iter45
66,0.18114376077268396,12,8,8.610811617222905e-5,0.003875867570995213,iter46
67,0.18114376077268396,12,8,9.682699692269062e-5,0.003875867570995213,iter47
68,0.18115348305048323,12,8,8.306664860264118e-5,0.0038829063762539674,iter48
69,0.18115348305048323,12,8,8.26492426618661e-5,0.0038829063762539674,iter49
70,0.18114376077268396,12,8,9.11241967897444e-5,0.003875867570995213,iter50
71,0.18115348305048323,12,8,8.13597056450194e-5,0.0038829063762539674,iter51
72,0.18114376077268396,12,8,9.695377655883126e-5,0.003875867570995213,iter52
73,0.18115348305048323,12,8,8.12312829833041e-5,0.0038829063762539674,iter53
74,0.18115348305048323,12,8,7.973558858734062e-5,0.0038829063762539674,iter54
75,0.16140614370890077,12,8,2.16498708747031e-4,0.0061822770441386805,iter55
76,0.1772801927856549,12,8,1.502943532227189e-4,0.004083429535892542,iter56
77,0.18114376077268396,12,8,9.609783026346183e-5,0.003875867570995213,iter57
78,0.18114376077268396,12,8,9.031722949662126e-5,0.003875867570995213,iter58
79,0.18115348305048323,12,8,8.258990453379211e-5,0.0038829063762539674,iter59
80,0.18115348305048323,12,8,8.351034572703826e-5,0.0038829063762539674,iter60
81,0.18115348305048323,12,8,8.312988394577234e-5,0.0038829063762539674,iter61
82,0.18115348305048323,12,8,8.193931638109441e-5,0.0038829063762539674,iter62
83,0.18115348305048323,12,8,8.069569292575425e-5,0.0038829063762539674,iter63
84,0.18115348305048323,12,8,8.393362332034763e-5,0.0038829063762539674,iter64
85,0.18115348305048323,12,8,8.270496010697947e-5,0.0038829063762539674,iter65
86,0.18114376077268396,12,8,9.15516078373036e-5,0.003875867570995213,iter66
87,0.18114376077268396,12,8,8.451966792967094e-5,0.003875867570995213,iter67
88,0.18115348305048323,12,8,8.033234897664596e-5,0.0038829063762539674,iter68
89,0.18115348305048323,12,8,7.944733154145114e-5,0.0038829063762539674,iter69
90,0.18114376077268396,12,8,9.224948674845748e-5,0.003875867570995213,iter70
91,0.18114376077268396,12,8,8.559482861750525e-5,0.003875867570995213,iter71
92,0.18115348305048323,12,8,8.353660759584634e-5,0.0038829063762539674,iter72
93,0.1708340854760137,11,8,1.303161021548425e-4,0.005380274280180544,iter73
94,0.18114376077268396,12,8,9.32372133086013e-5,0.003875867570995213,iter74
95,0.18115348305048323,12,8,8.339054537164282e-5,0.0038829063762539674,iter75
96,0.18114376077268396,12,8,9.304655132471604e-5,0.003875867570995213,iter76
97,0.18115348305048323,12,8,8.2291507505778e-5,0.0038829063762539674,iter77
98,0.18114376077268396,12,8,9.04664005132353e-5,0.003875867570995213,iter78
99,0.18115348305048323,12,8,7.994457960387749e-5,0.0038829063762539674,iter79
100,0.18115348305048323,12,8,8.000912962473662e-5,0.0038829063762539674,iter80
