number,value,learning_rate,max_depth,subsample,colsample_bytree,std_err
85,0.7400593026258181,0.38788866508286446,8,0.4802007566206158,0.8149759586900474,0.002740375957236539
53,0.7374553055221886,0.9038007872458548,10,0.8212750335689634,0.6173235608264804,0.0013310676991589634
90,0.7370565634226568,0.23144888908136638,9,0.2740454129641876,0.5012449502944947,0.003670725313719904
3,0.7363197710969162,0.6223167961719446,7,0.7107007114915177,0.5934154574759305,0.0032837471822614716
55,0.7362056844078718,0.8272927817865274,5,0.9039293497567996,0.7854938743636013,0.0031723162062879252
70,0.7349660967477576,0.17569344077259302,6,0.15629463782534003,0.6424721128307282,0.00262450193353993
44,0.7339599447668871,0.8858364084945061,8,0.7833921494195237,0.6753127499483526,0.004074306537463449
52,0.7331769143549962,0.29539197149453683,6,0.37574680845718833,0.6874710102565587,0.002303501909068309
33,0.7328746477766427,0.9562509744893759,10,0.7673724371008575,0.5544152630493044,0.003498279366929647
30,0.7314544579408826,0.5603166831913404,6,0.5472034180304036,0.5892971521243453,0.0025571522983659683
54,0.7305146811185828,0.5261997305322439,6,0.5381553272716701,0.8263761222362518,0.0031136616985897535
80,0.7302273594755099,0.7201138910045848,4,0.645321331359446,0.6879215560853481,0.0017060685656105283
19,0.7296077410554913,0.5512481456808745,9,0.47301759761758155,0.6383484833873808,0.002610808973098187
15,0.7295564511602322,0.4151947881584056,5,0.42781989655923103,0.5931351225823164,0.0038835367268662806
75,0.7285799785578769,0.5349933428340592,5,0.45214237326290463,0.7774730977602303,0.0021798806941168117
94,0.7245106761565836,0.79924956594361,3,0.46747425529174513,0.6812786383554339,0.003401310981465187
25,0.7235424127440304,0.8853822345263325,8,0.6171768970787526,0.5418318011797965,0.003120286453593235
68,0.7225683257181988,0.581075290797744,4,0.40720032569952314,0.7529774221591652,0.002035811947782508
11,0.7207091196380659,0.7667698773788288,6,0.5856406747596339,0.7027021386660636,0.003990157797834006
18,0.7198736767066695,0.6570217609847896,10,0.42479502591304485,0.7337712877430022,0.001352349048664739
38,0.7146863107199389,0.934519475295674,6,0.6328297414584085,0.8252795487642288,0.0027119510324404793
24,0.7133816810175466,0.9429805946606211,9,0.5843612922821194,0.5386324700899422,0.00531367698632603
64,0.712901548660148,0.4301548662921414,4,0.20230461319442838,0.5576504465192557,0.003941514519526269
2,0.7086018276322732,0.4002835006848909,10,0.24416499559301885,0.789331981074065,0.005400835702228299
27,0.7017451193910886,0.36155032474081966,8,0.21672194430138916,0.8505473038181663,0.0026535071543500426
100,0.6967851549782772,0.4341571763367392,4,0.1315391077892855,0.6489323595538735,0.004128218327891709
72,0.6932933024237458,0.885592214318458,10,0.39630906155798584,0.5007094252854586,0.002525996464263837
97,0.6750374675842249,0.7479333748249337,4,0.20883891293779017,0.7050833849236369,0.004878896912008666
79,0.6737823035126913,0.6759041676181369,5,0.23239368819631637,0.519281548075378,0.00166939577828234
51,0.6721544983553555,0.582983382921666,5,0.12610058241989464,0.553758357744664,0.0037753790764957144
31,0.6717939956442179,0.9644323566788807,5,0.3226586523931474,0.684825102891773,0.006915691749535288
46,0.6713950430526399,0.5758377839601598,6,0.11092901770025493,0.8275262886658311,0.004464570393097379
91,0.6683464165834053,0.603895807042718,10,0.18716027855407447,0.7220098664052784,0.005500088790395564
49,0.6679082423072173,0.7999558686697855,8,0.2766693187179044,0.8288985176943242,0.0033756127019065824
34,0.6678645301256216,0.9484988047089428,7,0.24711273282300683,0.7992313182912767,0.00305937283128071
65,0.6669023008183931,0.8646840816899203,10,0.14994809543713927,0.7953375366516411,0.0056289257422285025
1,0.6655267352964289,0.650433810565155,7,0.12164736108388752,0.8231497817672789,0.004519688950321854
69,0.6642082131189869,0.6545254628546536,9,0.2076821784488857,0.7688602034002543,0.0034750344286058454
43,0.6640163145368614,0.8652982537844218,7,0.12421882022172213,0.7689324817620218,0.004982013738220485
12,0.6634639834076136,0.7463974003726617,9,0.15304823662154377,0.8514681790024042,0.004533902387959417
13,0.6623361670240354,0.8279040382569656,5,0.10100709656253458,0.7982763428241015,0.0050300735352963345
81,0.6589833093840161,0.820011312761344,5,0.13734617475420238,0.881008779257536,0.00518569787089445
17,0.6533434556619554,0.9611151744937524,8,0.12321080437395722,0.8210880509577692,0.008467615630451545
67,0.649510044680445,0.9926361736422404,5,0.11282458971254528,0.8473479589447379,0.003310352430404475
