number,value,tree_depth,min_n,cost_complexity,std_err,.config
36,0.12815672474901244,12,8,8.355896791091278e-5,0.0013723263988058853,iter16
37,0.11557411939669304,12,14,7.998497727056905e-5,0.0020105790454394636,iter17
38,0.12701842982497227,12,9,8.289350548064112e-5,0.0016763720462953616,iter18
39,0.12815672474901244,12,8,8.369155111441122e-5,0.0013723263988058853,iter19
40,0.12268785032866489,12,8,1.0463362955830192e-4,0.0016494903138893455,iter20
41,0.11823416787671553,11,8,1.0208741421402433e-4,0.0018947493565079252,iter21
42,0.12815672474901244,12,8,8.236876460722027e-5,0.0013723263988058853,iter22
43,0.12815672474901244,12,8,7.998231744977142e-5,0.0013723263988058853,iter23
44,0.11746717254516215,12,12,1.0369361969692066e-4,0.00146702461701825,iter24
45,0.12815672474901244,12,8,8.014522135976687e-5,0.0013723263988058853,iter25
46,0.12815672474901244,12,8,8.372965588903594e-5,0.0013723263988058853,iter26
47,0.12815672474901244,12,8,8.11983327879519e-5,0.0013723263988058853,iter27
48,0.12815672474901244,12,8,8.032045609244494e-5,0.0013723263988058853,iter28
49,0.12010656236826081,12,8,1.1309876429487932e-4,0.001182025835926476,iter29
50,0.11217479936609052,12,19,1.4152540714787798e-4,0.0015326224587464232,iter30
51,0.12815672474901244,12,8,8.243025026988418e-5,0.0013723263988058853,iter31
52,0.11488284970412353,12,20,4.7811925024242904e-4,0.001344398611172279,iter32
53,0.12701842982497227,12,9,8.162560823445686e-5,0.0016763720462953616,iter33
54,0.12815672474901244,12,8,8.008477109949792e-5,0.0013723263988058853,iter34
55,0.12815672474901244,12,8,7.943485783760259e-5,0.0013723263988058853,iter35
56,0.11394037776945055,12,8,4.18167108063285e-4,0.001730580921019694,iter36
57,0.12815672474901244,12,8,8.154475766177272e-5,0.0013723263988058853,iter37
58,0.12815672474901244,12,8,8.311756661132357e-5,0.0013723263988058853,iter38
59,0.12815672474901244,12,8,8.364278065946483e-5,0.0013723263988058853,iter39
60,0.11181766905553733,10,20,2.676360591886658e-4,0.0012788814678867456,iter40
61,0.12815672474901244,12,8,7.950715061051149e-5,0.0013723263988058853,iter41
62,0.11682408036285853,8,8,4.868891268746244e-4,0.0014083836947772102,iter42
63,0.12815672474901244,12,8,8.098528089407289e-5,0.0013723263988058853,iter43
64,0.11108561876434495,8,20,1.2260611978866308e-4,0.0019523067399239407,iter44
65,0.12815672474901244,12,8,8.211609543863503e-5,0.0013723263988058853,iter45
66,0.11606332068637094,8,20,4.2878945713234164e-4,0.0017699301270657699,iter46
67,0.1147065338735616,10,20,4.944085963997484e-4,0.0012261856991613539,iter47
68,0.12815672474901244,12,8,8.306664860264118e-5,0.0013723263988058853,iter48
69,0.12815672474901244,12,8,8.26492426618661e-5,0.0013723263988058853,iter49
70,0.11472270363951473,12,8,1.702046517710896e-4,9.461299740638556e-4,iter50
71,0.12815672474901244,12,8,8.13597056450194e-5,0.0013723263988058853,iter51
72,0.11460659749871188,8,20,3.6402755365007425e-4,0.0015420999738623078,iter52
73,0.12815672474901244,12,8,8.12312829833041e-5,0.0013723263988058853,iter53
74,0.12815672474901244,12,8,7.973558858734062e-5,0.0013723263988058853,iter54
75,0.11413679602479429,8,8,2.8953471710399943e-4,0.0014185455059245208,iter55
76,0.12815672474901244,12,8,8.100703539399648e-5,0.0013723263988058853,iter56
77,0.11859934891564007,11,8,8.648280830431618e-5,0.0020091891167519954,iter57
78,0.11321163559573437,10,8,1.1648010773008804e-4,0.0013862516009165706,iter58
79,0.12815672474901244,12,8,8.258990453379211e-5,0.0013723263988058853,iter59
80,0.12815672474901244,12,8,8.351034572703826e-5,0.0013723263988058853,iter60
81,0.12815672474901244,12,8,8.312988394577234e-5,0.0013723263988058853,iter61
82,0.12815672474901244,12,8,8.193931638109441e-5,0.0013723263988058853,iter62
83,0.12815672474901244,12,8,8.069569292575425e-5,0.0013723263988058853,iter63
84,0.12815672474901244,12,8,8.393362332034763e-5,0.0013723263988058853,iter64
85,0.12815672474901244,12,8,8.270496010697947e-5,0.0013723263988058853,iter65
86,0.11202246006838729,8,8,1.8172536615010209e-4,0.002046257363809941,iter66
87,0.12220122527206582,12,8,8.451966792967094e-5,0.0014625087814090223,iter67
88,0.12815672474901244,12,8,8.033234897664596e-5,0.0013723263988058853,iter68
89,0.12815672474901244,12,8,7.944733154145114e-5,0.0013723263988058853,iter69
90,0.12701842982497227,12,9,8.356775104691229e-5,0.0016763720462953616,iter70
91,0.12305455368713601,11,8,8.349685709332966e-5,0.002213464746634321,iter71
92,0.12815672474901244,12,8,8.029556917334885e-5,0.0013723263988058853,iter72
93,0.12701842982497227,12,9,8.02932484781298e-5,0.0016763720462953616,iter73
94,0.12151943104282793,12,9,8.791291284021258e-5,0.0016120995676737345,iter74
95,0.12815672474901244,12,8,8.339054537164282e-5,0.0013723263988058853,iter75
96,0.12701842982497227,12,9,8.396490149507662e-5,0.0016763720462953616,iter76
97,0.12815672474901244,12,8,8.056665507969078e-5,0.0013723263988058853,iter77
98,0.12166734000031226,12,9,1.0730359284220209e-4,0.001510608962594111,iter78
99,0.12815672474901244,12,8,8.22452792618444e-5,0.0013723263988058853,iter79
100,0.12815672474901244,12,8,8.000912962473662e-5,0.0013723263988058853,iter80
