number,value,max_depth,min_node_size,max_features_mode,std_err
26,0.810030231604837,7,17,sqrt,0.0026446129050101204
47,0.8097949972671996,7,91,all,0.0022058963645080077
69,0.8097300505568081,7,98,all,0.0022031955696579296
55,0.8097037900526064,8,153,log2,0.002584179962673082
42,0.8093394735943158,7,144,sqrt,0.00270612941378299
83,0.8093364845938376,7,133,all,0.0021442370999778817
30,0.8091251088850174,7,154,all,0.002139621824821799
31,0.8079361165197787,7,35,log2,0.002637811363469068
1,0.8073953636332581,7,132,log2,0.002488205918796904
93,0.8069490418118467,7,196,log2,0.0024905671977718032
100,0.8065522092983535,6,32,sqrt,0.002548878994176623
87,0.8061360977317756,6,176,sqrt,0.0024095930764371555
40,0.8048397895743663,6,16,log2,0.0025714629346436516
45,0.8048397895743663,6,16,log2,0.0025714629346436516
78,0.8048055014688802,6,27,log2,0.002600713636486985
73,0.8046052170868347,6,75,log2,0.002431677829858102
20,0.8027654979674796,5,20,sqrt,0.002365607246828217
43,0.8014788293366127,6,191,all,0.001986671046570457
71,0.8013153523604564,5,32,log2,0.0025452063162565795
41,0.8013096732595477,5,64,log2,0.002483277015002594
65,0.8012795270547243,5,74,log2,0.002464247608497119
50,0.8012187008949921,5,105,log2,0.002438617239037086
84,0.8011513843342215,5,144,log2,0.002438246516169851
60,0.7981417704276833,4,140,sqrt,0.002314989114982524
12,0.7978375328790053,4,124,log2,0.0023488668784164713
5,0.7978134073751452,4,66,log2,0.0023544103605676594
53,0.7977060382079662,4,185,log2,0.002379028592842396
63,0.7932163139646102,3,156,log2,0.0022064315331765403
27,0.7928484747557559,3,21,sqrt,0.0024536239386174644
94,0.7928476207556193,3,184,sqrt,0.002449275708196893
39,0.7928473005055681,3,125,sqrt,0.0024506809468432676
79,0.7928470443055271,3,147,sqrt,0.0024504835148101475
97,0.7897552862608458,5,39,all,0.0022661676715085683
19,0.7875567269590763,2,136,log2,0.0020908099043761828
62,0.7875567269590763,2,123,log2,0.0020908099043761828
81,0.7875567269590763,2,50,log2,0.0020908099043761828
11,0.7861463884334221,2,11,sqrt,0.0024455457745017626
22,0.7861463884334221,2,103,sqrt,0.0024455457745017626
37,0.7861463884334221,2,89,sqrt,0.0024455457745017626
75,0.7861463884334221,2,134,sqrt,0.0024455457745017626
25,0.7706712014073922,4,73,all,0.0019185625015008937
49,0.7706712014073922,4,117,all,0.0019185625015008937
44,0.7445358402507345,3,85,all,0.004150578954553604
54,0.7445358402507345,3,88,all,0.004150578954553604
82,0.7445358402507345,3,152,all,0.004150578954553604
23,0.7149348077645693,2,198,all,0.0045796638022668
33,0.7149348077645693,2,171,all,0.0045796638022668
34,0.7149348077645693,2,181,all,0.0045796638022668
35,0.7149348077645693,2,9,all,0.0045796638022668
