number,value,tree_depth,min_n,cost_complexity,std_err,.config
59,0.31074470682667804,12,8,8.52645295003037e-5,0.007038506574279098,iter39
60,0.3031072835861109,12,10,1.659659320539099e-4,0.007309183818381242,iter40
61,0.31074470682667804,12,8,8.583776757292269e-5,0.007038506574279098,iter41
62,0.31074470682667804,12,8,8.481500653073e-5,0.007038506574279098,iter42
63,0.31074470682667804,12,8,8.265510297920034e-5,0.007038506574279098,iter43
64,0.31061644700652247,12,8,9.26251136269161e-5,0.007113668432882747,iter44
65,0.31074470682667804,12,8,8.617385802054278e-5,0.007038506574279098,iter45
66,0.31074470682667804,12,8,8.610811617222905e-5,0.007038506574279098,iter46
67,0.31074470682667804,12,8,8.779991368802794e-5,0.007038506574279098,iter47
68,0.31074470682667804,12,8,8.306664860264118e-5,0.007038506574279098,iter48
69,0.31074470682667804,12,8,8.26492426618661e-5,0.007038506574279098,iter49
70,0.3086302440585112,12,9,9.191922483793875e-5,0.006903416707176571,iter50
71,0.31074470682667804,12,8,8.646403156006706e-5,0.007038506574279098,iter51
72,0.30042750934584683,12,12,7.976508278207329e-5,0.006229024118544912,iter52
73,0.31074470682667804,12,8,8.727355391526152e-5,0.007038506574279098,iter53
74,0.31074470682667804,12,8,7.973558858734062e-5,0.007038506574279098,iter54
75,0.31061644700652247,12,8,1.0231563357006303e-4,0.007113668432882747,iter55
76,0.31074470682667804,12,8,8.676087944017088e-5,0.007038506574279098,iter56
77,0.31061644700652247,12,8,9.609783026346183e-5,0.007113668432882747,iter57
78,0.3073538202903106,12,8,2.144524916561996e-4,0.007358671013926805,iter58
79,0.31074470682667804,12,8,8.020311503180291e-5,0.007038506574279098,iter59
80,0.31074470682667804,12,8,8.351034572703826e-5,0.007038506574279098,iter60
81,0.31074470682667804,12,8,8.312988394577234e-5,0.007038506574279098,iter61
82,0.31074470682667804,12,8,8.193931638109441e-5,0.007038506574279098,iter62
83,0.31074470682667804,12,8,8.069569292575425e-5,0.007038506574279098,iter63
84,0.31074470682667804,12,8,8.393362332034763e-5,0.007038506574279098,iter64
85,0.31074470682667804,12,8,8.270496010697947e-5,0.007038506574279098,iter65
86,0.2847958788463913,12,20,8.119889636453786e-5,0.007284263651514755,iter66
87,0.31074470682667804,12,8,8.451966792967094e-5,0.007038506574279098,iter67
88,0.31074470682667804,12,8,8.033234897664596e-5,0.007038506574279098,iter68
89,0.31074470682667804,12,8,7.944733154145114e-5,0.007038506574279098,iter69
90,0.31074470682667804,12,8,8.467869012974039e-5,0.007038506574279098,iter70
91,0.31074470682667804,12,8,8.559482861750525e-5,0.007038506574279098,iter71
92,0.31074470682667804,12,8,8.353660759584634e-5,0.007038506574279098,iter72
93,0.299749795121075,12,8,2.7427152714236207e-4,0.006109965783463078,iter73
94,0.31061644700652247,12,8,9.476026180759947e-5,0.007113668432882747,iter74
95,0.31074470682667804,12,8,8.339054537164282e-5,0.007038506574279098,iter75
96,0.28093391111061217,12,20,4.8750493135151526e-4,0.005972458744461942,iter76
97,0.31074470682667804,12,8,8.2291507505778e-5,0.007038506574279098,iter77
98,0.2954869803653019,11,11,1.0605916184180228e-4,0.007173805892221825,iter78
99,0.31074470682667804,12,8,7.994457960387749e-5,0.007038506574279098,iter79
100,0.31074470682667804,12,8,8.000912962473662e-5,0.007038506574279098,iter80
