variable,median_importance,q1,q3,iqr,mean_importance
i9_health_Not sure,0.004408870485147161,0.004100974058802236,0.00471631381431626,6.153397555140241e-4,0.004409122464338978
PHQ4_2_Not at all,0.004119757230142867,0.0039441802084077444,0.004324663768731765,3.804835603240207e-4,0.004144728580427893
i11_health_Somewhat willing,0.003954086521612798,0.0037427261147596675,0.004171394666964848,4.2866855220518056e-4,0.003966775295208094
WCRex2_No confidence at all,0.003948388530721579,0.0036983472046798823,0.004229262035504012,5.309148308241299e-4,0.003977554556047193
PHQ4_1_Not at all,0.003914244169764465,0.0037473699849130794,0.004127474992134969,3.8010500722188926e-4,0.003939426969347022
d1_comorbidities_Yes,0.0038310563378532777,0.0036388739940021193,0.004041831453491296,4.0295745948917654e-4,0.0038507627680453627
PHQ4_3_Not at all,0.0037561303264197466,0.0035806841772445907,0.003959094653000476,3.784104757558857e-4,0.0037694905555418815
PHQ4_3_Several days,0.0036271360018630765,0.003438813977843178,0.003774238133846123,3.354241560029449e-4,0.0036082184005059334
PHQ4_2_Several days,0.0036236409801685522,0.003452948852992727,0.0037949872550693486,3.4203840207662137e-4,0.003635099261452597
employment_status_Unemployed,0.0035851556743011722,0.003405355008469358,0.003818057209236111,4.127022007667531e-4,0.0036146062329787967
PHQ4_4_Not at all,0.0035471648077982153,0.0033842273449234753,0.0037501906103540985,3.659632654306232e-4,0.0035731878681449563
PHQ4_1_Several days,0.0035367618874973033,0.0033802904449206513,0.003730601250518008,3.5031080559735656e-4,0.003560956465365765
PHQ4_4_Several days,0.0034226579193881107,0.003255376400601533,0.0036217641473880197,3.663877467864865e-4,0.003435374756263462
i11_health_Very unwilling,0.0029056611556145546,0.0026938704765569724,0.003148943653531234,4.550731769742615e-4,0.00292465938591465
PHQ4_3_Nearly every day,0.002592421558465013,0.00240090000727551,0.0028066001125841376,4.0570010530862743e-4,0.002603727555560742
PHQ4_1_Nearly every day,0.002519411954735695,0.0022903072482627655,0.002791077264957655,5.007700166948896e-4,0.0025531502074091082
PHQ4_1_N/A,0.0024901612777577754,0.0023568469864600826,0.0026296100787476023,2.727630922875197e-4,0.0024989367865601232
PHQ4_2_Nearly every day,0.0022531289759230915,0.0020829504056097702,0.0024343355110523395,3.5138510544256924e-4,0.0022788199910748026
PHQ4_4_Nearly every day,0.0019144049125953612,0.0017959784030041972,0.002074086935254984,2.7810853225078663e-4,0.0019375236179196786
WCRex2_Don't know,0.0011927334711649465,0.0010500561241016458,0.0013675952345116433,3.175391104099975e-4,0.0012035519193112022
i11_health_Somewhat unwilling,0.0010254716185722481,9.160464783037213e-4,0.0012057318768259136,2.8968539852219227e-4,0.001069290620167831
state_Northern Territory,9.59116662516041e-4,7.530502861520875e-4,0.0011492381213628461,3.961878352107586e-4,9.626809709492454e-4
PHQ4_2_N/A,7.927178813255607e-4,7.433810182978834e-4,8.943572119044455e-4,1.5097619360656214e-4,8.181481464404048e-4
d1_comorbidities_Prefer_not_to_say,7.65243872956675e-4,6.147307997141885e-4,9.025142010368065e-4,2.8778340132261805e-4,7.730772710458133e-4
PHQ4_3_N/A,6.528902830743599e-4,5.564171049320286e-4,7.702399951049281e-4,2.138228901728995e-4,6.750304298084292e-4
i11_health_Not sure,5.599458732725497e-4,4.87087438143635e-4,6.489211927592697e-4,1.618337546156347e-4,5.696192889719313e-4
PHQ4_4_Prefer not to say,2.6530110025922075e-4,1.7676679248049864e-4,3.8164074309901997e-4,2.0487395061852132e-4,2.8439281251243793e-4
PHQ4_4_N/A,1.7670128151648455e-4,1.3946594702817023e-4,2.1693574884808114e-4,7.746980181991091e-5,1.849098630283623e-4
PHQ4_2_Prefer not to say,1.4933856631871127e-4,1.1221604208806675e-4,2.10106330526169e-4,9.789028843810226e-5,1.7138996356879554e-4
PHQ4_3_Prefer not to say,1.4013290921231552e-4,1.0323092902327816e-4,1.8695994133443214e-4,8.372901231115398e-5,1.5434373257695313e-4
PHQ4_1_Prefer not to say,1.1059721447611485e-4,8.025753743942254e-5,1.531014212556552e-4,7.284388381623265e-5,1.2737362269017784e-4
