variable,median_importance,q1,q3,iqr,mean_importance
PHQ4_3_N/A,33.546880883197204,32.948585716017305,34.214914595232614,1.2663288792153082,33.58109806485216
PHQ4_4_N/A,32.800802731349236,32.39462947490253,33.503528225733476,1.1088987508309458,32.89827366310287
PHQ4_1_N/A,32.67837825888592,32.0185319633317,33.22296419904613,1.2044322357144353,32.65386829273524
d1_comorbidities_Prefer_not_to_say,27.15367783786249,26.295057655166012,28.176509603276386,1.8814519481103744,27.367619588036757
i11_health_Not sure,22.92161968273073,22.129276625017326,23.56938100570656,1.4401043806892346,22.945852999875832
state_Tasmania,22.523260023744694,21.30417333404594,24.111278420937598,2.8071050868916565,22.718925784929713
PHQ4_3_Prefer not to say,15.196693942806743,14.488094868359699,15.83988220949605,1.351787341136351,15.182249901988575
PHQ4_4_Prefer not to say,14.337747682516108,13.851698355214406,14.902804991103618,1.0511066358892123,14.409234881424293
PHQ4_2_Prefer not to say,13.886735290196803,13.495564632825014,14.37482628817989,0.8792616553548758,13.918049821055698
PHQ4_1_Prefer not to say,13.038811982717831,12.535757830164084,13.607084057084126,1.0713262269200428,13.078152161411124
state_Northern Territory,7.910788750636328,7.187660720863063,8.61560542831863,1.427944707455568,7.93754748503431
