variable,median_importance,q1,q3,iqr,mean_importance
WCRex2_No confidence at all,25.168556677870413,24.554131194929795,25.94691996536343,1.3927887704336364,25.2763932019693
WCRex2_Don't know,21.18727465836221,20.795484740096818,21.64452049002063,0.8490357499238108,21.234075308747688
state_Victoria,20.60217950399685,19.99401743392814,21.065897699645895,1.0718802657177555,20.533365467692
PHQ4_1_N/A,18.901684977270307,18.16833416748519,19.729297659582663,1.5609634920974713,18.96361300932314
PHQ4_3_N/A,18.122016526057543,17.364989431978493,18.770408415334696,1.4054189833562027,18.059907501104377
PHQ4_4_N/A,17.544401791616114,16.938478331762997,18.41658014012345,1.478101808360453,17.721783619238412
i11_health_Somewhat unwilling,17.517386390155593,16.912979774016065,18.178551356503764,1.2655715824876985,17.5723315065457
PHQ4_2_N/A,16.430789839032894,15.99507665218404,16.874995930506753,0.8799192783227134,16.450068600050994
state_Northern Territory,16.413230530072315,15.901670965256292,16.90642301358939,1.0047520483330974,16.418686968339752
i11_health_Very unwilling,15.22378844204216,14.840484200923191,15.754298527921959,0.913814326998768,15.271585930877118
i11_health_Not sure,14.552723423286313,14.092236075532847,15.270536623348942,1.1783005478160948,14.649552325708283
d1_comorbidities_Prefer_not_to_say,14.136654041723524,13.392562100085325,14.880244408149126,1.4876823080638015,14.172697381545479
PHQ4_2_Prefer not to say,9.92462186673713,9.456161397203964,10.419814852187077,0.9636534549831133,9.952960858161738
PHQ4_3_Prefer not to say,9.360683663359321,8.865881304214804,9.822764413321437,0.9568831091066325,9.39638672174449
PHQ4_4_Prefer not to say,9.00613901744677,8.68696582537541,9.390549836624418,0.7035840112490082,9.043030515262524
PHQ4_1_Prefer not to say,6.7498062203618465,6.448778849370762,7.1074910899736,0.6587122406028376,6.76111177321702
