number,value,learning_rate,max_depth,subsample,colsample_bytree,std_err
92,0.897891655737193,0.7735183521616272,10,0.8611397409811616,0.5632798387669027,0.0020547754202687118
10,0.8977212340156447,0.6240038946410641,3,0.6628382950788364,0.7906170967966318,0.0021299980975328044
48,0.8974043573469483,0.703660635096021,10,0.7915002845460549,0.8954519608058036,0.0019736991666156724
88,0.8970933357534311,0.36874695277074354,10,0.5149825453059748,0.7669087116606534,0.0025095495431481656
21,0.8964491311068434,0.2048276433092542,4,0.16627722738776357,0.7631511851213872,0.0018428527604367176
66,0.8964352740955861,0.6175824300665408,7,0.8689267591107637,0.637435530219227,0.0022542983252760856
58,0.896080368713601,0.23207371706841515,7,0.36663154282141475,0.7681537156924605,0.002107903176279039
7,0.8952787308539042,0.1378610907820985,2,0.21523423024918886,0.5550156250596047,0.0025522211875795594
4,0.8949870310084781,0.4821222242084332,9,0.6363998184446246,0.5358785616233945,0.002211080348971179
16,0.8945282273174388,0.544295687393751,2,0.3515382613055408,0.7439288509078323,0.0023484893692228737
29,0.8941301114806314,0.4564410061528906,8,0.5681064162403345,0.8402089583687484,0.0021744882885677366
86,0.8934576560963042,0.1803502294723876,7,0.22692051916383207,0.6353694008663296,0.002119155455847925
59,0.8934048921104814,0.548526943193283,2,0.30107806071173404,0.6776913507841528,0.0022979157379991793
62,0.8933913668868175,0.5602923539001494,3,0.4304388215765357,0.8587884842418134,0.002411864760964616
6,0.8931807500741643,0.07671054234029724,2,0.44889644668437545,0.68893261263147,0.0027503648546893097
23,0.89306672248505,0.8202093951753341,3,0.6716043632943183,0.5598024950362742,0.002017514912208174
53,0.8929786133620622,0.9038007872458548,10,0.8212750335689634,0.6173235608264804,0.0019225645270134965
99,0.8927996237138351,0.690631035012193,4,0.7991311323130503,0.8977603091858328,0.0023003215139862977
41,0.8927124611613346,0.9853095358400605,2,0.6171425339998677,0.5914911410771311,0.0026843602218839064
85,0.8924549647134136,0.38788866508286446,8,0.4802007566206158,0.8149759586900474,0.0018545517411641009
36,0.8923747404250004,0.3736064846417867,2,0.1498691802378744,0.7046491685323417,0.0023774089782507427
73,0.8922990343029338,0.3937169793760404,7,0.547952332906425,0.6977698138915003,0.0017419247539740194
70,0.8916744246412791,0.17569344077259302,6,0.15629463782534003,0.6424721128307282,0.0019614433179178966
90,0.8908455509235406,0.23144888908136638,9,0.2740454129641876,0.5012449502944947,0.0019742581418911377
33,0.8905233656533483,0.9562509744893759,10,0.7673724371008575,0.5544152630493044,0.0024942921845420496
52,0.8904090453104752,0.29539197149453683,6,0.37574680845718833,0.6874710102565587,0.002408607912383292
3,0.8902374623323497,0.6223167961719446,7,0.7107007114915177,0.5934154574759305,0.0023564373736516568
44,0.8884673364872672,0.8858364084945061,8,0.7833921494195237,0.6753127499483526,0.00223233474687868
80,0.8878218925164333,0.7201138910045848,4,0.645321331359446,0.6879215560853481,0.00191883920949386
15,0.8873312664917951,0.4151947881584056,5,0.42781989655923103,0.5931351225823164,0.0016176189525653687
55,0.8870924477336956,0.8272927817865274,5,0.9039293497567996,0.7854938743636013,0.001981402870265892
94,0.8847365313753962,0.79924956594361,3,0.46747425529174513,0.6812786383554339,0.0026445074744926946
19,0.8842809577341639,0.5512481456808745,9,0.47301759761758155,0.6383484833873808,0.0020165074438036716
54,0.8833920890127562,0.5261997305322439,6,0.5381553272716701,0.8263761222362518,0.00153716191211561
35,0.8831807891079988,0.011175874250475318,3,0.756270827841945,0.784952432755381,0.003082349923752072
68,0.8813731712648524,0.581075290797744,4,0.40720032569952314,0.7529774221591652,0.0019866961926907705
30,0.8800700169406842,0.5603166831913404,6,0.5472034180304036,0.5892971521243453,0.00235641044281262
64,0.8794062758599154,0.4301548662921414,4,0.20230461319442838,0.5576504465192557,0.0015333778755712596
37,0.8788399925055038,0.020929995093028994,2,0.3736860934644938,0.6600491866469383,0.0029026803492864686
25,0.8786926592970787,0.8853822345263325,8,0.6171768970787526,0.5418318011797965,0.0019462394509131822
18,0.8782768318578544,0.6570217609847896,10,0.42479502591304485,0.7337712877430022,9.836468313267797e-4
75,0.877543639827002,0.5349933428340592,5,0.45214237326290463,0.7774730977602303,0.00215992821596193
24,0.8746548042843537,0.9429805946606211,9,0.5843612922821194,0.5386324700899422,0.002751569476793413
11,0.8743767565225538,0.7667698773788288,6,0.5856406747596339,0.7027021386660636,0.0017925150985246363
38,0.8679408969194498,0.934519475295674,6,0.6328297414584085,0.8252795487642288,0.001287993171491811
2,0.8666064764938248,0.4002835006848909,10,0.24416499559301885,0.789331981074065,0.0025082454474121578
100,0.8629954271862851,0.4341571763367392,4,0.1315391077892855,0.6489323595538735,0.001990980079234171
27,0.8620819573906663,0.36155032474081966,8,0.21672194430138916,0.8505473038181663,0.0013286231746938682
72,0.8570839090823926,0.885592214318458,10,0.39630906155798584,0.5007094252854586,0.001365060999837492
79,0.8438802363889019,0.6759041676181369,5,0.23239368819631637,0.519281548075378,0.0030672082755136645
97,0.8429618190547566,0.7479333748249337,4,0.20883891293779017,0.7050833849236369,0.0022381746061997136
31,0.8342066568301404,0.9644323566788807,5,0.3226586523931474,0.684825102891773,0.002753353293118523
51,0.8335285122644308,0.582983382921666,5,0.12610058241989464,0.553758357744664,0.0028558662515175068
91,0.8292137707464831,0.603895807042718,10,0.18716027855407447,0.7220098664052784,0.0034805859540023316
