tree_depth,min_n,cost_complexity,mean,std_err
12,17,0.021007437129733988,0.24999643515268516,0.0032653989186294426
12,16,0.021218536807958276,0.24999643515268516,0.0032653989186294426
6,3,0.021410024117452103,0.24999643515268516,0.0032653989186294426
15,18,0.024158847907043226,0.24999643515268516,0.0032653989186294426
12,14,0.025543378827364023,0.24999643515268516,0.0032653989186294426
10,14,0.026954418089879646,0.24999643515268516,0.0032653989186294426
9,10,0.027506034260318897,0.24999643515268516,0.0032653989186294426
19,4,6.083122130080987e-4,0.2497664567977068,0.006977070636466561
11,9,0.012219862020771645,0.24914964680589682,0.003244619652589933
18,15,0.01324257796517828,0.24914964680589682,0.003244619652589933
13,7,0.013263813968634625,0.24914964680589682,0.003244619652589933
12,12,0.013329207929104504,0.24914964680589682,0.003244619652589933
20,13,0.014048211313939405,0.24914964680589682,0.003244619652589933
14,8,0.014315713487660043,0.24914964680589682,0.003244619652589933
8,20,0.014400804218579834,0.24914964680589682,0.003244619652589933
19,10,0.015134215575768495,0.24911271864396867,0.0032491990650942997
13,6,0.015576185359936861,0.24911271864396867,0.0032491990650942997
11,3,2.8099485029526813e-4,0.24906281078156078,0.00555333775153887
8,3,0.009948733447874511,0.24715516043641045,0.003772746895695169
16,12,0.010129263459711803,0.24715516043641045,0.003772746895695169
20,17,0.010173078814173698,0.24715516043641045,0.003772746895695169
20,9,0.01036512814438876,0.24715516043641045,0.003772746895695169
4,16,0.0019144836612719634,0.2438479875979876,0.004571346937847899
4,3,0.001497012129607462,0.24364067801567801,0.00454679496909941
11,19,0.009215315557429177,0.23934878466128467,0.0035315381415445784
14,3,0.00942575917473573,0.23934878466128467,0.0035315381415445784
10,10,0.009591999167537344,0.23934878466128467,0.0035315381415445784
5,17,0.008377813664547465,0.23824322496197498,0.0019490642915967532
13,20,0.008866814775272663,0.2370083252895753,0.0028772506395096068
18,9,5.296344555524256e-4,0.23610842985842986,0.004121045483396263
12,13,0.00816906183308832,0.23540368696618696,0.0029823697294045918
13,7,0.008201916664217603,0.23540368696618696,0.0029823697294045918
19,10,0.00834017546212912,0.23540368696618696,0.0029823697294045918
5,15,0.003918335642793884,0.23455525330525331,0.0033781979369223378
6,5,0.0047337656943004704,0.2336081007956008,0.003767391438416603
6,18,0.005815439369785568,0.2336081007956008,0.003767391438416603
6,9,0.002663725094938877,0.23336797633672635,0.0036128790823611867
9,13,0.00627500289196026,0.2317157153094653,0.003485901474945088
16,16,0.006476894166026324,0.2317157153094653,0.003485901474945088
19,14,0.006567263292913383,0.2317157153094653,0.003485901474945088
13,5,0.00678952202116705,0.2317157153094653,0.003485901474945088
17,6,0.007001835251198173,0.2317157153094653,0.003485901474945088
20,20,0.007125547995130561,0.2317157153094653,0.003485901474945088
13,5,0.007777774469154781,0.2317157153094653,0.003485901474945088
20,6,0.005767512318418305,0.2315455167017667,0.0035926171899394663
9,5,0.005877613596359252,0.2315455167017667,0.0035926171899394663
7,14,0.00454433974887991,0.2315210198022698,0.0036083780045564574
11,7,0.005098233312357656,0.2315210198022698,0.0036083780045564574
16,11,0.0043547210387545965,0.23134899306774306,0.003673099234803805
20,5,0.0044210854033128865,0.23134899306774306,0.003673099234803805
19,18,0.004447471367787863,0.23134899306774306,0.003673099234803805
13,19,0.004639850483603162,0.23134899306774306,0.003673099234803805
13,11,0.0048186695393031675,0.23134899306774306,0.003673099234803805
11,7,1.2803804329724255e-4,0.23106919825669825,0.004072141533695552
19,20,0.004184128046339556,0.23097559816309815,0.003836434367890832
11,16,0.004020265142518666,0.2304816382941383,0.0031868707685833108
7,7,0.002744233561147608,0.23024379899379901,0.0032654984530622166
17,19,0.0036924576528245146,0.22946446852696853,0.002470382678915197
19,19,0.0038577012011259387,0.22946446852696853,0.002470382678915197
4,3,2.0138458988564067e-4,0.22946200055575056,0.004603031496190192
13,12,1.0335961658936626e-4,0.22928741444366446,0.0035180531008727803
4,17,1.2908284889798235e-4,0.22927324646074645,0.004858903951953369
13,20,0.0035073734157962254,0.22926310035685038,0.0024329956442436735
12,19,0.0032898701522676077,0.2289868703931204,0.0022908412197917873
15,5,0.0033279114445748737,0.2289868703931204,0.0022908412197917873
11,4,0.0033544003957314667,0.2289868703931204,0.0022908412197917873
20,6,0.0033869671137734844,0.2289868703931204,0.0022908412197917873
18,2,0.0031526284479851526,0.2287796522171522,0.002169974355835829
10,10,0.0026458789989138023,0.22801037644787644,0.002289810687721409
18,13,0.0026940444577014133,0.22798002954252955,0.0021199018852774954
16,15,0.002785109314896668,0.22798002954252955,0.0021199018852774954
12,20,0.0026702644226572346,0.22786897083772084,0.0021475680969806196
